bug,repo,d1_followup_commits,d2_days_to_first_edit,first_edit_commit,all_edit_commits
django__django-12113,django,2,0,664c98f1f8c63a932a9c767a7364a6a1826799bb,664c98f1f8c63a932a9c767a7364a6a1826799bb;3b3f38b3b09b0f2373e51406ecb8c9c45d36aebc
django__django-13791,django,1,0,2a76f4313423a3b91caade4fce71790630ef9152,2a76f4313423a3b91caade4fce71790630ef9152
django__django-11179,django,1,0,afc708cf6d047b35db57bd7c55baeffef459d279,afc708cf6d047b35db57bd7c55baeffef459d279
django__django-11405,django,2,1375,b15f162f252610e3b510ade465549769ab4356cf,f8b8b00f0197e52f7a0986fae51462be174dbaea;b15f162f252610e3b510ade465549769ab4356cf
django__django-11490,django,2,1857,9cb8baa0c4fa2c10789c5c8b65f4465932d4d172,14d026cccb144c6877294ba4cd4e03ebf0842498;9cb8baa0c4fa2c10789c5c8b65f4465932d4d172
django__django-11695,django,2,895,9c19aff7c7561e3a82978a272ecdaad40dda5c00,8f6860863e34cb1cbe24161f1c4e7c79007e93dc;9c19aff7c7561e3a82978a272ecdaad40dda5c00
pytest-dev__pytest-11143,pytest,0,,,
pytest-dev__pytest-6116,pytest,1,0,4946cc82825c277754979cf6ea995482e5b1e2d5,4946cc82825c277754979cf6ea995482e5b1e2d5
pytest-dev__pytest-7521,pytest,0,,,
pytest-dev__pytest-11148,pytest,0,,,
pytest-dev__pytest-5227,pytest,1,0,7e08e094730a66d97cfec4aa8d07ed167d1c20ee,7e08e094730a66d97cfec4aa8d07ed167d1c20ee
pytest-dev__pytest-5555,pytest,1,0,8651d880a06c078d8c04ec8c99df1a05bc9826d7,8651d880a06c078d8c04ec8c99df1a05bc9826d7
psf__requests-1376,requests,1,0,715a57dec888c850d16b767d7cdab9705fda7292,715a57dec888c850d16b767d7cdab9705fda7292
psf__requests-1921,requests,2,537,276202f51ee9967969eafc1880c4785c80d63d3b,276202f51ee9967969eafc1880c4785c80d63d3b;d2f647cee45fd05cc1977cc3faf4b095b5047b29
psf__requests-1962,requests,1,2,8fc6a65be892651e6f16597fcaf9e608ab5d958b,8fc6a65be892651e6f16597fcaf9e608ab5d958b
psf__requests-3718,requests,0,,,
